,COMPETITION_WYID_x,MATCH_WYID,PLAYER_WYID,PASSLENGTH,LONGPASSLENGTH,DRIBBLEDISTANCEFROMOPPONENTGOAL,BALLRECOVERIES,DUELS,DEFENSIVEDUELS,OFFENSIVEDUELS,AERIALDUELS,FOULS,GOALS,ASSISTS,PASSES,SMARTPASSES,PASSESTOFINALTHIRD,CROSSES,DRIBBLES,SHOTS,HEADSHOTS,INTERCEPTIONS,SUCCESSFULDEFENSIVEACTION,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,DIRECTFREEKICKS,CORNERS,PENALTIES,ACCELERATIONS,LOOSEBALLDUELS,MISSEDBALLS,FORWARDPASSES,BACKPASSES,THROUGHPASSES,KEYPASSES,VERTICALPASSES,LONGPASSES,SHOTASSISTS,SHOTONTARGETASSISTS,LINKUPPLAYS,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,BALLLOSSES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,DUELSWON_AVERAGE,DEFENSIVEDUELSWON_AVERAGE,OFFENSIVEDUELSWON_AVERAGE,SUCCESSFULPASSES_AVERAGE,SUCCESSFULSMARTPASSES_AVERAGE,SUCCESSFULCROSSES_AVERAGE,SUCCESSFULFORWARDPASSES_AVERAGE,SUCCESSFULBACKPASSES_AVERAGE,SUCCESSFULTHROUGHPASSES_AVERAGE,SUCCESSFULKEYPASSES_AVERAGE,SUCCESSFULVERTICALPASSES_AVERAGE,SUCCESSFULLONGPASSES_AVERAGE,SUCCESSFULDRIBBLES_AVERAGE,DEFENSIVEACTIONS,ATTACKINGACTIONS,FREEKICKSONTARGET,DIRECTFREEKICKSONTARGET_AVERAGE,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS_AVERAGE,LOOSEBALLDUELSWON,SUCCESSFULPASSESTOFINALTHIRD_AVERAGE,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,SHOTSBLOCKED,SHOTSONTARGET_AVERAGE,SUCCESSFULPROGRESSIVEPASSES_AVERAGE,SUCCESSFULSLIDINGTACKLES_AVERAGE,SUCCESSFULGOALKICKS_AVERAGE,DRIBBLESAGAINST,DRIBBLESAGAINSTWON_AVERAGE,GOALKICKSSHORT,GOALKICKSLONG,FIELDAERIALDUELS,FIELDAERIALDUELSWON_AVERAGE,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKAERIALDUELS,GKSAVES_AVERAGE,GKSUCCESSFULEXITS_AVERAGE,GKAERIALDUELSWON_AVERAGE,NEWDUELSWON_AVERAGE,NEWDEFENSIVEDUELSWON_AVERAGE,NEWOFFENSIVEDUELSWON_AVERAGE,NEWSUCCESSFULDRIBBLES_AVERAGE,LATERALPASSES,SUCCESSFULLATERALPASSES_AVERAGE,SHORTNAME,COMPETITIONNAME,TEAM_WYID,MATCHLABEL,DATE,COMPETITION_WYID_y,SEASON_WYID,TEAMNAME,COMPETITION_WYID,DUELSWON_PERCENT,DEFENSIVEDUELSWON_PERCENT,OFFENSIVEDUELSWON_PERCENT,AERIALDUELSWON,SUCCESSFULPASSES_PERCENT,SUCCESSFULSMARTPASSES_PERCENT,SUCCESSFULPASSESTOFINALTHIRD_PERCENT,SUCCESSFULCROSSES_PERCENT,SUCCESSFULDRIBBLES_PERCENT,SHOTSONTARGET_PERCENT,HEADSHOTSONTARGET,GOALCONVERSION,DIRECTFREEKICKSONTARGET_PERCENT,PENALTIESCONVERSION,WIN,SUCCESSFULFORWARDPASSES_PERCENT,SUCCESSFULBACKPASSES_PERCENT,SUCCESSFULTHROUGHPASSES_PERCENT,SUCCESSFULKEYPASSES_PERCENT,SUCCESSFULVERTICALPASSES_PERCENT,SUCCESSFULLONGPASSES_PERCENT,SUCCESSFULSHOTASSISTS,SUCCESSFULLINKUPPLAYS_PERCENT,YELLOWCARDSPERFOUL,SUCCESSFULPROGRESSIVEPASSES_PERCENT,SUCCESSFULSLIDINGTACKLES_PERCENT,SUCCESSFULGOALKICKS_PERCENT,DRIBBLESAGAINSTWON_PERCENT,FIELDAERIALDUELSWON_PERCENT,GKSAVES_PERCENT,GKSUCCESSFULEXITS_PERCENT,GKAERIALDUELSWON_PERCENT,NEWDUELSWON_PERCENT,NEWDEFENSIVEDUELSWON_PERCENT,NEWOFFENSIVEDUELSWON_PERCENT,NEWSUCCESSFULDRIBBLES_PERCENT,SUCCESSFULLATERALPASSES_PERCENT,POSITION1NAME,POSITION1CODE,POSITION1PERCENT,POSITION2NAME,POSITION2CODE,POSITION2PERCENT,POSITION3NAME,POSITION3CODE,POSITION3PERCENT,MINUTESONFIELD
0,1305,5743755,1176702,19.49,36.13,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I. Saani,U19 Ligaen,,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,,1305,36.36,50.0,37.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Attacking Midfielder,amf,65.0,Left Winger,lw,34.0,,,,39
1,1305,5743755,1176701,18.88,34.87,0.0,4.74,6.32,4.74,1.58,0.0,0.0,0.0,0.0,15.79,0.0,0.0,4.74,0.0,0.0,0.0,3.16,4.74,0.0,0.0,0.0,3.16,0.0,0.0,3.16,0.0,0.0,0.0,0.0,4.74,4.74,0.0,0.0,4.74,1.58,1.58,0.0,0.0,0.0,0.0,0.0,6.32,3.16,0.0,1.58,1.58,0.0,12.63,0.0,3.16,3.16,4.74,0.0,0.0,3.16,0.0,0.0,7.9,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,15.79,0.0,1.58,1.58,0.0,0.0,0.0,0.0,4.74,1.58,0.0,0.0,0.0,0.0,3.16,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.58,0.0,0.0,4.74,3.16,C. Ochieng,U19 Ligaen,38324.0,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,Horsens U19,1305,25.0,33.33,0.0,0.0,80.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.67,100.0,0.0,0.0,66.67,0.0,100.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.33,0.0,0.0,66.67,Left Back (5 at the back),lb5,100.0,,,,,,,57
11,1305,5743755,1172915,19.58,35.93,19.9,8.27,17.45,11.02,6.43,0.0,0.92,0.0,0.0,24.8,0.0,4.59,1.84,1.84,0.0,0.0,3.67,12.86,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.92,0.0,0.0,9.18,5.51,0.0,0.0,7.35,3.67,0.0,0.0,0.0,4.59,0.0,0.0,9.18,4.59,0.0,7.35,2.76,4.59,18.37,0.0,0.92,4.59,5.51,0.0,0.0,6.43,0.92,1.84,14.69,3.68,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,11.02,1.84,1.84,0.0,0.92,0.0,0.0,0.92,3.67,2.76,0.0,0.0,0.92,0.0,2.76,0.0,0.0,3.67,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,9.18,3.67,1.84,7.35,6.43,C. Jørgensen,U19 Ligaen,38324.0,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,Horsens U19,1305,42.11,25.0,71.43,0.0,74.07,0.0,60.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,100.0,0.0,0.0,87.5,25.0,0.0,0.0,0.0,75.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,73.68,83.33,57.14,100.0,87.5,Right Centre Midfielder,rcmf,44.0,Right Defensive Midfielder,rdmf,41.0,Left Centre Midfielder,lcmf,13.0,98
21,1305,5743755,1098968,7.69,0.0,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G. Efe Egbedi,U19 Ligaen,,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,,1305,23.53,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,51.0,Left Attacking Midfielder,lamf,46.0,,,,40
22,1305,5743755,1098962,16.8,32.73,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Schøt,U19 Ligaen,,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,,1305,40.0,33.33,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left Centre Back,lcb,100.0,,,,,,,21
23,1305,5743755,1016477,16.7,39.62,50.0,10.1,19.29,7.35,8.27,1.84,0.92,0.0,0.0,33.98,0.0,2.76,3.67,4.59,0.92,0.0,8.27,16.53,0.92,0.0,0.0,5.51,0.92,0.0,0.0,0.0,0.92,1.84,0.0,11.94,4.59,0.92,0.0,6.43,3.67,1.84,0.0,0.0,1.84,0.0,0.0,7.35,3.67,0.0,11.02,2.76,5.51,26.63,0.0,1.84,8.27,4.59,0.92,0.0,3.67,0.92,3.67,18.38,9.18,0.0,0.0,0.0,0.0,1.84,1.84,0.0,0.24,0.0,22.04,1.84,1.84,0.0,2.76,0.0,0.0,1.84,6.43,3.67,2.76,0.0,1.84,0.0,4.59,2.76,0.0,3.67,2.76,0.0,0.0,1.84,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,5.51,4.59,3.67,6.43,3.67,O. Ogunniyi,U19 Ligaen,38324.0,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,Horsens U19,1305,57.14,37.5,66.67,50.0,78.38,0.0,66.67,50.0,80.0,0.0,0.0,0.0,0.0,0.0,100.0,69.23,100.0,100.0,0.0,57.14,25.0,50.0,0.0,100.0,71.43,100.0,0.0,75.0,50.0,0.0,0.0,0.0,66.67,75.0,55.56,80.0,57.14,Right Back (5 at the back),rb5,58.0,Right Back,rb,41.0,,,,98
33,1305,5743755,962771,17.91,56.83,0.0,1.84,8.27,4.59,1.84,1.84,1.84,0.0,0.0,25.71,0.0,4.59,3.67,0.0,1.84,0.92,1.84,3.67,0.0,0.0,0.0,1.84,0.0,0.0,3.67,0.0,0.92,0.0,0.0,8.27,4.59,0.92,0.0,7.35,0.92,0.0,0.0,0.0,0.0,0.0,0.0,8.27,1.84,0.0,3.67,0.92,0.92,18.37,0.0,0.92,6.43,3.67,0.0,0.0,3.67,0.0,0.0,6.43,5.51,0.0,0.0,0.0,0.0,0.0,3.67,0.23,0.0,0.0,22.04,2.76,4.59,0.92,0.0,0.92,0.0,0.0,6.43,0.0,0.0,0.0,0.0,0.92,5.51,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,1.84,0.0,0.0,7.35,3.67,P. Chapipis,U19 Ligaen,38324.0,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,Horsens U19,1305,44.44,20.0,50.0,100.0,71.43,0.0,80.0,25.0,0.0,50.0,100.0,0.0,0.0,0.0,100.0,77.78,80.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.44,40.0,0.0,0.0,50.0,Right Winger,rw,58.0,Right Attacking Midfielder,ramf,41.0,,,,98
43,1305,5743755,962770,27.37,56.62,24.1,9.18,11.02,8.27,1.84,0.92,0.0,0.0,0.0,27.55,0.0,6.43,0.0,0.92,0.0,0.0,6.43,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,12.86,2.76,0.92,0.0,10.1,3.67,0.0,0.0,0.0,2.76,1.84,0.0,7.35,3.67,0.92,3.67,3.67,0.0,22.96,0.0,0.0,8.27,2.76,0.0,0.0,10.1,0.92,0.0,15.62,0.92,0.0,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,15.61,0.92,0.0,0.0,1.84,0.0,0.0,0.0,6.43,0.92,0.92,0.0,0.92,0.0,5.51,0.92,0.0,3.67,0.92,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,4.59,0.0,0.0,10.1,10.1,M. Mollerup,U19 Ligaen,38324.0,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,Horsens U19,1305,33.33,44.44,0.0,0.0,83.33,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.29,100.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,85.71,100.0,0.0,25.0,0.0,0.0,0.0,0.0,41.67,55.56,0.0,0.0,100.0,Centre Back,cb,58.0,Left Centre Back,lcb,41.0,,,,98
53,1305,5743755,959945,20.21,50.07,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C. Søgaard Emmery,U19 Ligaen,,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,,1305,33.33,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right Winger,rw,64.0,Right Defensive Midfielder,rdmf,33.0,,,,32
54,1305,5743755,858985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D. Kannerup,U19 Ligaen,,"AGF U19 - Horsens U19, 1 - 2",2025-08-16 13:00:00,1305,191801,,1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0
