,COMPETITION_WYID_x,MATCH_WYID,PLAYER_WYID,PASSLENGTH,LONGPASSLENGTH,DRIBBLEDISTANCEFROMOPPONENTGOAL,BALLRECOVERIES,DUELS,DEFENSIVEDUELS,OFFENSIVEDUELS,AERIALDUELS,FOULS,GOALS,ASSISTS,PASSES,SMARTPASSES,PASSESTOFINALTHIRD,CROSSES,DRIBBLES,SHOTS,HEADSHOTS,INTERCEPTIONS,SUCCESSFULDEFENSIVEACTION,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,DIRECTFREEKICKS,CORNERS,PENALTIES,ACCELERATIONS,LOOSEBALLDUELS,MISSEDBALLS,FORWARDPASSES,BACKPASSES,THROUGHPASSES,KEYPASSES,VERTICALPASSES,LONGPASSES,SHOTASSISTS,SHOTONTARGETASSISTS,LINKUPPLAYS,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,BALLLOSSES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,DUELSWON_AVERAGE,DEFENSIVEDUELSWON_AVERAGE,OFFENSIVEDUELSWON_AVERAGE,SUCCESSFULPASSES_AVERAGE,SUCCESSFULSMARTPASSES_AVERAGE,SUCCESSFULCROSSES_AVERAGE,SUCCESSFULFORWARDPASSES_AVERAGE,SUCCESSFULBACKPASSES_AVERAGE,SUCCESSFULTHROUGHPASSES_AVERAGE,SUCCESSFULKEYPASSES_AVERAGE,SUCCESSFULVERTICALPASSES_AVERAGE,SUCCESSFULLONGPASSES_AVERAGE,SUCCESSFULDRIBBLES_AVERAGE,DEFENSIVEACTIONS,ATTACKINGACTIONS,FREEKICKSONTARGET,DIRECTFREEKICKSONTARGET_AVERAGE,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS_AVERAGE,LOOSEBALLDUELSWON,SUCCESSFULPASSESTOFINALTHIRD_AVERAGE,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,SHOTSBLOCKED,SHOTSONTARGET_AVERAGE,SUCCESSFULPROGRESSIVEPASSES_AVERAGE,SUCCESSFULSLIDINGTACKLES_AVERAGE,SUCCESSFULGOALKICKS_AVERAGE,DRIBBLESAGAINST,DRIBBLESAGAINSTWON_AVERAGE,GOALKICKSSHORT,GOALKICKSLONG,FIELDAERIALDUELS,FIELDAERIALDUELSWON_AVERAGE,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKAERIALDUELS,GKSAVES_AVERAGE,GKSUCCESSFULEXITS_AVERAGE,GKAERIALDUELSWON_AVERAGE,NEWDUELSWON_AVERAGE,NEWDEFENSIVEDUELSWON_AVERAGE,NEWOFFENSIVEDUELSWON_AVERAGE,NEWSUCCESSFULDRIBBLES_AVERAGE,LATERALPASSES,SUCCESSFULLATERALPASSES_AVERAGE,SHORTNAME,COMPETITIONNAME,TEAM_WYID,MATCHLABEL,DATE,COMPETITION_WYID_y,SEASON_WYID,TEAMNAME,COMPETITION_WYID,DUELSWON_PERCENT,DEFENSIVEDUELSWON_PERCENT,OFFENSIVEDUELSWON_PERCENT,AERIALDUELSWON,SUCCESSFULPASSES_PERCENT,SUCCESSFULSMARTPASSES_PERCENT,SUCCESSFULPASSESTOFINALTHIRD_PERCENT,SUCCESSFULCROSSES_PERCENT,SUCCESSFULDRIBBLES_PERCENT,SHOTSONTARGET_PERCENT,HEADSHOTSONTARGET,GOALCONVERSION,DIRECTFREEKICKSONTARGET_PERCENT,PENALTIESCONVERSION,WIN,SUCCESSFULFORWARDPASSES_PERCENT,SUCCESSFULBACKPASSES_PERCENT,SUCCESSFULTHROUGHPASSES_PERCENT,SUCCESSFULKEYPASSES_PERCENT,SUCCESSFULVERTICALPASSES_PERCENT,SUCCESSFULLONGPASSES_PERCENT,SUCCESSFULSHOTASSISTS,SUCCESSFULLINKUPPLAYS_PERCENT,YELLOWCARDSPERFOUL,SUCCESSFULPROGRESSIVEPASSES_PERCENT,SUCCESSFULSLIDINGTACKLES_PERCENT,SUCCESSFULGOALKICKS_PERCENT,DRIBBLESAGAINSTWON_PERCENT,FIELDAERIALDUELSWON_PERCENT,GKSAVES_PERCENT,GKSUCCESSFULEXITS_PERCENT,GKAERIALDUELSWON_PERCENT,NEWDUELSWON_PERCENT,NEWDEFENSIVEDUELSWON_PERCENT,NEWOFFENSIVEDUELSWON_PERCENT,NEWSUCCESSFULDRIBBLES_PERCENT,SUCCESSFULLATERALPASSES_PERCENT,POSITION1NAME,POSITION1CODE,POSITION1PERCENT,POSITION2NAME,POSITION2CODE,POSITION2PERCENT,POSITION3NAME,POSITION3CODE,POSITION3PERCENT,MINUTESONFIELD
2352,3134,5745103,1224635,97.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A. Ritter,U19 Division,,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,,3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right Centre Midfielder,rcmf3,100.0,,,,,,,12
2353,3134,5745103,1174716,18.45,27.05,0.0,7.83,11.74,3.91,3.91,1.96,0.0,0.0,0.0,41.09,0.0,9.78,0.0,0.0,0.0,0.0,3.91,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,21.52,3.91,1.96,0.0,13.7,3.91,0.0,0.0,0.0,5.87,0.0,0.0,13.7,3.91,0.0,3.91,0.0,1.96,31.3,0.0,0.0,11.74,3.91,1.96,0.0,13.7,1.96,0.0,9.78,0.0,0.0,0.0,0.0,0.0,1.96,5.87,0.0,0.0,0.0,23.48,0.0,0.0,0.0,3.91,0.0,0.0,0.0,5.87,3.91,1.96,0.0,0.0,0.0,3.91,1.96,0.0,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,1.96,1.96,0.0,13.7,13.7,J. Bærnholdt Lund,U19 Division,38327.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Viborg U19,3134,33.33,0.0,50.0,0.0,76.19,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.55,100.0,100.0,0.0,100.0,50.0,0.0,0.0,0.0,66.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,Defensive Midfielder,dmf,100.0,,,,,,,46
2363,3134,5745103,1101847,18.21,0.0,81.9,8.67,19.52,6.51,2.17,6.51,1.08,0.0,0.0,34.7,0.0,1.08,0.0,1.08,0.0,0.0,1.08,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,0.0,13.01,5.42,0.0,0.0,10.84,0.0,0.0,0.0,0.0,3.25,0.0,0.0,9.76,4.34,0.0,5.42,1.08,0.0,29.28,0.0,0.0,9.76,5.42,0.0,0.0,9.76,0.0,0.0,8.67,1.08,0.0,0.0,0.0,0.0,1.08,1.08,0.0,0.0,0.0,23.86,1.08,2.17,0.0,0.0,0.0,0.0,1.08,4.34,4.34,1.08,0.0,0.0,0.0,2.17,0.0,0.0,2.17,0.0,0.0,0.0,6.51,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,2.17,0.0,0.0,10.84,9.76,S. Mathiassen,U19 Division,64974.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Kolding IF U19,3134,27.78,16.67,0.0,50.0,84.38,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,90.0,Right Centre Back (3 at the back),rcb3,100.0,,,,,,,83
2370,3134,5745103,1095649,21.48,45.62,0.0,6.92,9.69,6.92,1.38,0.0,1.38,0.0,0.0,27.69,0.0,5.54,1.38,0.0,0.0,0.0,1.38,5.54,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,1.38,0.0,8.31,6.92,0.0,0.0,6.92,2.77,0.0,0.0,0.0,1.38,0.0,0.0,9.69,2.77,0.0,1.38,1.38,0.0,18.0,0.0,1.38,4.15,5.54,0.0,0.0,5.54,1.38,0.0,8.3,1.38,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,15.23,0.0,2.77,0.0,4.15,0.0,0.0,0.0,5.54,4.15,0.0,0.0,0.0,0.0,4.15,0.0,0.0,2.77,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,4.15,0.0,0.0,6.92,5.54,M. Jensen Bertelsen,U19 Division,64974.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Kolding IF U19,3134,14.29,20.0,0.0,0.0,65.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,80.0,0.0,0.0,80.0,50.0,0.0,0.0,0.0,75.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,42.86,60.0,0.0,0.0,80.0,Right Wingback,rwb,100.0,,,,,,,65
2377,3134,5745103,1084345,20.38,46.02,0.0,3.83,5.74,1.91,1.91,0.96,0.0,0.0,0.0,58.4,0.0,3.83,0.0,0.0,0.0,0.0,0.96,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,17.23,0.96,1.91,0.0,37.34,5.74,0.0,0.0,0.0,0.0,0.0,0.0,4.79,2.87,0.0,2.87,0.96,1.91,54.57,0.0,0.0,14.36,0.96,0.96,0.0,36.38,2.87,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,48.83,0.0,0.96,0.0,2.87,0.0,0.0,0.0,6.7,2.87,0.0,3.83,0.0,0.0,3.83,0.0,3.83,0.0,0.0,3.83,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.91,0.0,0.0,37.34,36.38,W. Rohde,U19 Division,38327.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Viborg U19,3134,50.0,50.0,100.0,0.0,93.44,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,83.33,100.0,50.0,0.0,97.44,50.0,0.0,0.0,0.0,57.14,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.33,100.0,0.0,0.0,97.44,Left Centre Back,lcb,100.0,,,,,,,94
2387,3134,5745103,1084336,22.57,44.11,0.0,2.61,26.09,6.52,9.13,7.83,2.61,0.0,0.0,14.35,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,1.3,3.91,0.0,0.0,5.22,2.61,0.0,0.0,1.3,0.0,0.0,0.0,9.13,2.61,0.0,7.83,1.3,2.61,11.74,0.0,0.0,1.3,3.91,0.0,0.0,2.61,2.61,0.0,6.52,1.3,0.0,0.0,0.0,1.3,1.3,0.0,0.35,0.0,0.0,11.74,5.22,1.3,1.3,0.0,0.0,0.0,1.3,2.61,1.3,0.0,0.0,0.0,0.0,2.61,0.0,0.0,1.3,1.3,0.0,0.0,7.83,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,5.22,3.91,0.0,5.22,2.61,M. Olsen,U19 Division,38327.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Viborg U19,3134,30.0,20.0,28.57,33.33,81.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,50.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,33.33,0.0,0.0,0.0,50.0,80.0,42.86,0.0,50.0,Left Wing Forward,lwf,100.0,,,,,,,69
2397,3134,5745103,1054370,24.52,42.02,87.2,17.07,23.28,6.21,4.66,3.1,0.0,0.0,0.0,66.72,0.0,12.41,0.0,1.55,0.0,0.0,4.66,12.41,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,9.31,0.0,27.93,7.76,6.21,1.55,23.28,18.62,0.0,1.55,0.0,1.55,0.0,0.0,1.55,0.0,0.0,17.07,4.66,3.1,58.97,0.0,0.0,23.28,7.76,4.66,1.55,21.72,13.97,1.55,12.42,1.55,0.0,0.0,0.0,0.0,6.21,9.31,0.0,0.0,0.0,48.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,17.07,7.76,1.55,0.0,1.55,0.0,12.41,1.55,0.0,1.55,1.55,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.62,6.21,3.1,1.55,23.28,21.72,A. Søndergaard,U19 Division,38327.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Viborg U19,3134,73.33,75.0,66.67,100.0,88.37,0.0,75.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,83.33,100.0,75.0,100.0,93.33,75.0,0.0,0.0,0.0,72.73,100.0,0.0,100.0,100.0,0.0,0.0,0.0,80.0,100.0,66.67,100.0,93.33,Right Centre Back,rcb,100.0,,,,,,,58
2407,3134,5745103,1028618,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M. Lebrecht,U19 Division,,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,,3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,100.0,,,,,,,16
2409,3134,5745103,1023343,18.25,37.17,0.0,4.79,6.7,3.83,0.96,0.0,0.0,0.0,0.0,40.21,0.0,4.79,0.0,0.0,0.96,0.0,1.91,5.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,6.7,6.7,0.0,0.0,22.98,1.91,0.0,0.0,0.0,3.83,0.0,0.0,8.62,1.91,0.96,3.83,1.91,0.96,37.34,0.0,0.0,5.74,6.7,0.0,0.0,22.02,0.96,0.0,5.74,0.96,0.0,0.0,0.0,0.0,0.96,3.83,0.02,0.0,0.0,29.68,0.0,0.96,0.0,0.0,0.0,0.0,0.96,2.87,1.91,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74,3.83,0.96,0.0,22.98,22.02,F. Klysner Baltsersen,U19 Division,64974.0,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,Kolding IF U19,3134,57.14,50.0,100.0,0.0,92.86,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,100.0,0.0,0.0,95.83,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,100.0,100.0,0.0,95.83,Defensive Midfielder,dmf,100.0,,,,,,,94
2416,3134,5745103,956194,19.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,V. Kristensen,U19 Division,,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,3134,191807,,3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,100.0,,,,,,,16
